market_id,market_name,city,state,zip,day,open_time,close_time,accepts_snap,products,latitude,longitude,contact_name,phone,website
FM-0001,Springfield Park Farmers Market,Springfield,IL,71345,Thursday,07:45,17:45,False,"coffee, dairy, jams, meat, organic, seafood",39.797173,-89.698918,Casey Lee,(949) 973-2612,https://www.springfield-farmersmarket1.org
FM-0002,Bend Valley Farmers Market,Bend,OR,68715,Wednesday,10:15,18:30,True,"coffee, eggs, flowers, fruits, gluten-free, jams, prepared foods",44.042451,-121.360993,Jordan Smith,(984) 400-9338,https://www.bend-farmersmarket2.org
FM-0003,San Diego Community Farmers Market,San Diego,CA,46355,Saturday,08:15,15:30,False,"eggs, flowers, honey, prepared foods",32.712172,-117.17905,Avery Ramirez,(805) 860-4264,https://www.sandiego-farmersmarket3.org
FM-0004,Boston River Farmers Market,Boston,MA,83225,Thursday,07:30,16:30,False,"dairy, gluten-free, honey, meat",42.356758,-71.039956,Alex Lopez,(687) 663-4613,https://www.boston-farmersmarket4.org
FM-0005,Eugene Downtown Farmers Market,Eugene,OR,52955,Sunday,07:15,14:15,True,"dairy, eggs, flowers, honey, seafood",44.085989,-123.089117,Taylor Smith,(755) 898-6830,https://www.eugene-farmersmarket5.org
FM-0006,Austin Harbor Farmers Market,Austin,TX,14407,Tuesday,08:45,14:30,True,"flowers, gluten-free, organic",30.288459,-97.699221,Riley Brown,(458) 315-9783,https://www.austin-farmersmarket6.org
FM-0007,Portland Community Farmers Market,Portland,OR,42657,Friday,07:15,18:00,True,"baked goods, eggs, flowers, fruits, gluten-free, vegetables",45.49955,-122.71862,Cameron Martinez,(248) 386-1697,https://www.portland-farmersmarket7.org
FM-0008,Seattle Community Farmers Market,Seattle,WA,88885,Friday,10:45,17:15,False,"flowers, honey, meat, organic, seafood",47.625816,-122.359938,Morgan Martinez,(400) 357-9829,https://www.seattle-farmersmarket8.org
FM-0009,Peoria Community Farmers Market,Peoria,IL,28425,Thursday,08:30,16:30,False,"dairy, eggs, flowers, fruits, gluten-free, jams, meat",40.733573,-89.552751,Jamie Johnson,(457) 936-8476,https://www.peoria-farmersmarket9.org
FM-0010,Rochester Downtown Farmers Market,Rochester,NY,77309,Saturday,08:00,14:30,True,"coffee, fruits, meat, organic",43.154404,-77.569223,Drew Patel,(272) 865-5698,https://www.rochester-farmersmarket10.org
FM-0011,Tampa Park Farmers Market,Tampa,FL,47658,Friday,08:30,17:00,True,"coffee, dairy, eggs, flowers, gluten-free, vegetables",27.992123,-82.506191,Jamie Lopez,(504) 587-1510,https://www.tampa-farmersmarket11.org
FM-0012,Orlando Harbor Farmers Market,Orlando,FL,33225,Friday,09:30,17:15,True,"baked goods, eggs, vegetables",28.575678,-81.370084,Jordan Lee,(235) 970-7766,https://www.orlando-farmersmarket12.org
FM-0013,Springfield Community Farmers Market,Springfield,MA,33847,Sunday,10:45,14:00,False,"dairy, eggs, fruits, gluten-free, jams, meat, organic",42.143931,-72.607646,Jamie Smith,(336) 793-6690,https://www.springfield-farmersmarket13.org
FM-0014,Seattle Harbor Farmers Market,Seattle,WA,34375,Saturday,07:15,12:15,False,"dairy, eggs, flowers, honey, meat, organic, seafood",47.577045,-122.373601,Cameron Patel,(386) 502-6970,https://www.seattle-farmersmarket14.org
FM-0015,Bend River Farmers Market,Bend,OR,80852,Monday,07:30,18:15,True,"coffee, dairy, gluten-free, honey, seafood, vegetables",44.023827,-121.329846,Avery Patel,(665) 945-7220,https://www.bend-farmersmarket15.org
FM-0016,Springfield River Farmers Market,Springfield,MA,20873,Friday,10:30,18:45,False,"fruits, honey, jams",42.125984,-72.554537,Jamie Davis,(311) 582-8683,https://www.springfield-farmersmarket16.org
FM-0017,San Jose Park Farmers Market,San Jose,CA,25652,Wednesday,08:00,15:30,False,"baked goods, eggs, flowers, gluten-free, jams, prepared foods, vegetables",37.369957,-121.841124,Drew Davis,(731) 383-7029,https://www.sanjose-farmersmarket17.org
FM-0018,New York Valley Farmers Market,New York,NY,58495,Monday,08:30,16:45,False,"baked goods, dairy, fruits, gluten-free, jams, meat, organic",40.726642,-73.998075,Taylor Garcia,(317) 670-3987,https://www.newyork-farmersmarket18.org
FM-0019,Miami Community Farmers Market,Miami,FL,76467,Sunday,08:30,12:15,False,"dairy, eggs, fruits, prepared foods, seafood, vegetables",25.762444,-80.162813,Taylor Wilson,(829) 901-9616,https://www.miami-farmersmarket19.org
FM-0020,Denver Community Farmers Market,Denver,CO,46285,Friday,10:30,13:15,True,"baked goods, flowers, meat, organic",39.753632,-104.96784,Alex Patel,(577) 386-2124,https://www.denver-farmersmarket20.org
FM-0021,Buffalo Downtown Farmers Market,Buffalo,NY,10737,Thursday,09:30,13:00,False,"baked goods, dairy, fruits, gluten-free, meat, organic, seafood",42.92986,-78.856694,Casey Ramirez,(886) 429-3392,https://www.buffalo-farmersmarket21.org
FM-0022,San Jose Downtown Farmers Market,San Jose,CA,66994,Saturday,09:15,17:00,False,"dairy, eggs, honey, organic",37.307441,-121.883579,Sam Patel,(283) 252-7680,https://www.sanjose-farmersmarket22.org
FM-0023,Spokane Hill Farmers Market,Spokane,WA,71766,Thursday,07:15,12:45,False,"dairy, gluten-free, meat, prepared foods, seafood",47.628096,-117.422041,Drew Martinez,(925) 656-5536,https://www.spokane-farmersmarket23.org
FM-0024,Springfield Valley Farmers Market,Springfield,IL,19429,Friday,09:00,17:15,False,"baked goods, eggs, meat",39.813018,-89.673546,Jamie Martinez,(833) 644-5433,https://www.springfield-farmersmarket24.org
FM-0025,Peoria River Farmers Market,Peoria,IL,59769,Wednesday,07:00,15:30,True,"coffee, dairy, eggs, flowers, honey, prepared foods",40.712786,-89.557418,Jordan Nguyen,(665) 224-9602,https://www.peoria-farmersmarket25.org
FM-0026,Tampa Hill Farmers Market,Tampa,FL,69785,Thursday,08:45,17:00,True,"coffee, dairy, eggs, gluten-free, honey, jams, meat",27.953984,-82.444038,Alex Martinez,(360) 790-5691,https://www.tampa-farmersmarket26.org
FM-0027,Los Angeles Downtown Farmers Market,Los Angeles,CA,25280,Sunday,09:15,12:30,False,"dairy, jams, seafood",34.078036,-118.249556,Casey Garcia,(480) 693-4832,https://www.losangeles-farmersmarket27.org
FM-0028,Orlando Harbor Farmers Market,Orlando,FL,73511,Thursday,09:30,18:00,False,"baked goods, honey, vegetables",28.574042,-81.41604,Quinn Nguyen,(568) 832-4163,https://www.orlando-farmersmarket28.org
FM-0029,Bend Downtown Farmers Market,Bend,OR,74008,Wednesday,07:15,17:15,False,"baked goods, eggs, fruits, honey, jams",44.031415,-121.341382,Drew Patel,(949) 597-2120,https://www.bend-farmersmarket29.org
FM-0030,Allentown Downtown Farmers Market,Allentown,PA,45890,Tuesday,10:00,18:45,False,"coffee, dairy, flowers, fruits, vegetables",40.599004,-75.495971,Jordan Smith,(416) 764-2796,https://www.allentown-farmersmarket30.org
FM-0031,Worcester River Farmers Market,Worcester,MA,12143,Sunday,07:15,17:45,True,"coffee, dairy, flowers, gluten-free, honey, seafood, vegetables",42.242085,-71.824261,Quinn Johnson,(647) 541-2276,https://www.worcester-farmersmarket31.org
FM-0032,Tacoma Community Farmers Market,Tacoma,WA,85530,Thursday,09:30,13:00,True,"coffee, eggs, flowers, gluten-free, honey, meat, prepared foods",47.269451,-122.410999,Jordan Ramirez,(446) 699-2486,https://www.tacoma-farmersmarket32.org
FM-0033,Chicago Harbor Farmers Market,Chicago,IL,95315,Sunday,08:00,16:15,False,"gluten-free, honey, organic, vegetables",41.8838,-87.615794,Sam Smith,(541) 991-6921,https://www.chicago-farmersmarket33.org
FM-0034,Denver Greenway Farmers Market,Denver,CO,88649,Saturday,07:00,12:15,True,"baked goods, dairy, jams",39.739144,-105.022639,Quinn Lee,(969) 708-7515,https://www.denver-farmersmarket34.org
FM-0035,Buffalo Community Farmers Market,Buffalo,NY,53637,Friday,07:00,18:30,True,"baked goods, eggs, jams, meat",42.929858,-78.924667,Riley Wilson,(227) 966-5347,https://www.buffalo-farmersmarket35.org
FM-0036,Miami Community Farmers Market,Miami,FL,44253,Thursday,09:15,18:45,False,"gluten-free, meat, organic, prepared foods, vegetables",25.71948,-80.146072,Morgan Garcia,(934) 475-5494,https://www.miami-farmersmarket36.org
FM-0037,Bend Sunset Farmers Market,Bend,OR,94258,Saturday,09:00,13:15,True,"baked goods, flowers, organic, prepared foods",44.049432,-121.34402,Morgan Lee,(479) 596-9285,https://www.bend-farmersmarket37.org
FM-0038,Allentown Park Farmers Market,Allentown,PA,60282,Thursday,07:15,17:15,False,"baked goods, eggs, fruits, gluten-free, prepared foods",40.624446,-75.505808,Morgan Brown,(418) 430-1729,https://www.allentown-farmersmarket38.org
FM-0039,Denver Greenway Farmers Market,Denver,CO,67412,Thursday,08:15,18:15,True,"eggs, flowers, gluten-free, honey, jams",39.710974,-105.017344,Morgan Wilson,(208) 233-6927,https://www.denver-farmersmarket39.org
FM-0040,San Diego Hill Farmers Market,San Diego,CA,76411,Saturday,10:15,14:45,True,"baked goods, dairy, eggs, prepared foods",32.677743,-117.163011,Alex Patel,(779) 392-8084,https://www.sandiego-farmersmarket40.org
FM-0041,Peoria Valley Farmers Market,Peoria,IL,97455,Tuesday,09:30,18:15,False,"dairy, flowers, vegetables",40.660776,-89.596573,Morgan Ramirez,(761) 465-8058,https://www.peoria-farmersmarket41.org
FM-0042,Miami Downtown Farmers Market,Miami,FL,35610,Saturday,07:45,17:15,False,"flowers, fruits, jams",25.774176,-80.165803,Sam Wilson,(685) 218-2157,https://www.miami-farmersmarket42.org
FM-0043,Orlando Community Farmers Market,Orlando,FL,62291,Friday,10:00,13:00,True,"coffee, eggs, fruits, organic, prepared foods, seafood",28.513156,-81.359323,Jamie Martinez,(348) 878-3626,https://www.orlando-farmersmarket43.org
FM-0044,Boulder Park Farmers Market,Boulder,CO,65257,Wednesday,08:00,15:45,True,"baked goods, coffee, eggs, gluten-free, meat, prepared foods, vegetables",40.030605,-105.238086,Alex Brown,(592) 896-6159,https://www.boulder-farmersmarket44.org
FM-0045,Tacoma Valley Farmers Market,Tacoma,WA,65129,Monday,10:30,13:45,True,"dairy, eggs, flowers, fruits, jams",47.223637,-122.398016,Alex Lopez,(906) 566-6356,https://www.tacoma-farmersmarket45.org
FM-0046,Sacramento Valley Farmers Market,Sacramento,CA,48454,Saturday,07:30,14:45,False,"fruits, organic, prepared foods, vegetables",38.548465,-121.481574,Sam Lopez,(914) 996-2710,https://www.sacramento-farmersmarket46.org
FM-0047,Boulder Hill Farmers Market,Boulder,CO,38264,Thursday,09:15,12:15,True,"gluten-free, jams, meat, organic, seafood",40.023361,-105.29907,Drew Nguyen,(894) 495-4925,https://www.boulder-farmersmarket47.org
FM-0048,Boston Hill Farmers Market,Boston,MA,30169,Saturday,10:15,16:45,False,"dairy, flowers, gluten-free, jams, seafood, vegetables",42.338141,-71.066526,Avery Nguyen,(640) 951-4052,https://www.boston-farmersmarket48.org
FM-0049,Spokane Valley Farmers Market,Spokane,WA,14681,Saturday,08:45,18:30,False,"baked goods, eggs, honey, jams, organic, seafood",47.60962,-117.398317,Alex Johnson,(865) 660-2752,https://www.spokane-farmersmarket49.org
FM-0050,Sacramento Sunset Farmers Market,Sacramento,CA,50737,Friday,08:45,13:15,False,"eggs, fruits, gluten-free, prepared foods, seafood",38.559746,-121.470974,Riley Patel,(508) 742-6225,https://www.sacramento-farmersmarket50.org
FM-0051,Houston Valley Farmers Market,Houston,TX,57409,Wednesday,08:30,14:30,True,"baked goods, gluten-free, organic, prepared foods",29.764881,-95.412024,Cameron Wilson,(353) 531-8919,https://www.houston-farmersmarket51.org
FM-0052,Orlando Valley Farmers Market,Orlando,FL,65380,Sunday,10:00,16:00,True,"baked goods, coffee, flowers, gluten-free, jams, organic, prepared foods",28.58489,-81.404164,Alex Garcia,(656) 247-6736,https://www.orlando-farmersmarket52.org
FM-0053,San Jose River Farmers Market,San Jose,CA,87286,Thursday,08:15,14:00,False,"coffee, eggs, flowers, organic, prepared foods",37.310455,-121.892719,Sam Nguyen,(247) 518-8999,https://www.sanjose-farmersmarket53.org
FM-0054,Spokane Hill Farmers Market,Spokane,WA,89496,Monday,07:45,12:15,False,"eggs, fruits, vegetables",47.621793,-117.442655,Morgan Nguyen,(463) 973-1068,https://www.spokane-farmersmarket54.org
FM-0055,Pittsburgh Sunset Farmers Market,Pittsburgh,PA,42839,Saturday,08:00,17:45,True,"eggs, fruits, jams",40.393484,-79.963824,Morgan Wilson,(615) 486-1683,https://www.pittsburgh-farmersmarket55.org
FM-0056,Chicago Sunset Farmers Market,Chicago,IL,51814,Thursday,10:15,18:30,True,"fruits, gluten-free, meat, seafood",41.844982,-87.671856,Cameron Brown,(684) 811-8101,https://www.chicago-farmersmarket56.org
FM-0057,Philadelphia Park Farmers Market,Philadelphia,PA,17387,Sunday,08:00,15:30,True,"baked goods, dairy, gluten-free, honey, organic",39.991899,-75.170001,Jordan Lopez,(397) 773-6777,https://www.philadelphia-farmersmarket57.org
FM-0058,Boulder Hill Farmers Market,Boulder,CO,40815,Sunday,07:45,16:30,False,"baked goods, coffee, fruits, honey, meat, seafood, vegetables",40.013796,-105.291078,Taylor Brown,(685) 853-5123,https://www.boulder-farmersmarket58.org
FM-0059,Springfield River Farmers Market,Springfield,IL,12639,Sunday,09:30,12:00,False,"fruits, honey, prepared foods, seafood",39.760079,-89.668154,Quinn Davis,(517) 716-9140,https://www.springfield-farmersmarket59.org
FM-0060,Buffalo River Farmers Market,Buffalo,NY,37687,Thursday,09:30,13:45,True,"dairy, honey, prepared foods",42.91631,-78.860584,Morgan Lopez,(513) 204-3547,https://www.buffalo-farmersmarket60.org
